[2024-12-05T07:09:07.843+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: obt_file_processing.etl_process_obt manual__2024-12-05T07:09:01.056194+00:00 [queued]>
[2024-12-05T07:09:07.853+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: obt_file_processing.etl_process_obt manual__2024-12-05T07:09:01.056194+00:00 [queued]>
[2024-12-05T07:09:07.854+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2024-12-05T07:09:07.869+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): etl_process_obt> on 2024-12-05 07:09:01.056194+00:00
[2024-12-05T07:09:07.878+0000] {standard_task_runner.py:57} INFO - Started process 181 to run task
[2024-12-05T07:09:07.884+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'obt_file_processing', 'etl_process_obt', 'manual__2024-12-05T07:09:01.056194+00:00', '--job-id', '155', '--raw', '--subdir', 'DAGS_FOLDER/OBT_file_processing.py', '--cfg-path', '/tmp/tmpfrhqzzwa']
[2024-12-05T07:09:07.885+0000] {standard_task_runner.py:85} INFO - Job 155: Subtask etl_process_obt
[2024-12-05T07:09:08.011+0000] {task_command.py:410} INFO - Running <TaskInstance: obt_file_processing.etl_process_obt manual__2024-12-05T07:09:01.056194+00:00 [running]> on host effe9442f8f2
[2024-12-05T07:09:08.102+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='obt_file_processing' AIRFLOW_CTX_TASK_ID='etl_process_obt' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T07:09:01.056194+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T07:09:01.056194+00:00'
[2024-12-05T07:09:15.436+0000] {OBT_file_processing.py:50} INFO - Inserted batch of 1000 documents.
[2024-12-05T07:09:16.434+0000] {OBT_file_processing.py:50} INFO - Inserted batch of 1000 documents.
[2024-12-05T07:09:17.391+0000] {OBT_file_processing.py:50} INFO - Inserted batch of 1000 documents.
[2024-12-05T07:09:18.384+0000] {OBT_file_processing.py:50} INFO - Inserted batch of 1000 documents.
[2024-12-05T07:09:19.373+0000] {OBT_file_processing.py:50} INFO - Inserted batch of 1000 documents.
[2024-12-05T07:09:20.440+0000] {OBT_file_processing.py:50} INFO - Inserted batch of 1000 documents.
[2024-12-05T07:09:24.380+0000] {OBT_file_processing.py:50} INFO - Inserted batch of 1000 documents.
[2024-12-05T07:09:27.381+0000] {OBT_file_processing.py:50} INFO - Inserted batch of 1000 documents.
